TIME ns, IN1, OUT1
-64.453, 2.148438, 3
-65.43, 2.148438, 3
-66.406, 2.148438, 3
-67.383, 2.148438, 3
-68.359, 2.148438, 3
-69.336, 2.148438, 3
-70.312, 2.148438, 3
-71.289, 2.148438, 3
-72.266, 2.148438, 3
-73.242, 2.148438, 3
-74.219, 2.148438, 3
-75.195, 2.148438, 3
-76.172, 2.148438, 3
-77.148, 2.148438, 3
-78.125, 2.148438, 3
-79.102, 2.148438, 3
-80.078, 2.148438, 3
-81.055, 2.148438, 3
-82.031, 2.148438, 3
-83.008, 2.148438, 3
-83.984, 2.148438, 3
-84.961, 2.148438, 3
-85.937, 2.148438, 3
-86.914, 2.148438, 3
-87.891, 2.148438, 3
-88.867, 2.127266, 3
-89.844, 2.103425, 3
-90.82, 2.079583, 3
-91.797, 2.055741, 3
-92.773, 2.069663, 3
-93.75, 2.093505, 3
-94.727, 2.117347, 3
-95.703, 2.141189, 3
-96.68, 2.148438, 3
-97.656, 2.148438, 3
-98.633, 2.148438, 3
-99.609, 2.148438, 3
-100.586, 2.148438, 3
-101.562, 2.148438, 3
-102.539, 2.148438, 3
-103.516, 2.148438, 3
-104.492, 2.136422, 3
-105.469, 2.11258, 3
-106.445, 2.088738, 3
-107.422, 2.064896, 3
-108.398, 2.050781, 3
-109.375, 2.050781, 3
-110.352, 2.050781, 3
-111.328, 2.050781, 3
-112.305, 2.058219, 3
-113.281, 2.082061, 3
-114.258, 2.105903, 3
-115.234, 2.129745, 3
-116.211, 2.148438, 3
-117.188, 2.148438, 3
-118.164, 2.148438, 3
-119.141, 2.148438, 3
-120.117, 2.148438, 3
-121.094, 2.148438, 3
-122.07, 2.148438, 3
-123.047, 2.148438, 3
-124.023, 2.149009, 3
-125, 2.172851, 3
-125.977, 2.196693, 3
-126.953, 2.220535, 3
-127.93, 2.244376, 3
-128.906, 2.223969, 3
-129.883, 2.200127, 3
-130.859, 2.176285, 3
-131.836, 2.152443, 3
-132.813, 2.148438, 3
-133.789, 2.148438, 3
-134.766, 2.148438, 3
-135.742, 2.148438, 3
-136.719, 2.148438, 3
-137.695, 2.148438, 3
-138.672, 2.148438, 3
-139.648, 2.148438, 3
-140.625, 2.117921, 3
-141.602, 2.070237, 3
-142.578, 2.022554, 3
-143.555, 1.97487, 3
-144.531, 1.979064, 3
-145.508, 2.026747, 3
-146.484, 2.074431, 3
-147.461, 2.122115, 3
-148.438, 2.148438, 3
-149.414, 2.148438, 3
-150.391, 2.148438, 3
-151.367, 2.148438, 3
-152.344, 2.156829, 3
-153.32, 2.180671, 3
-154.297, 2.204513, 3
-155.273, 2.228355, 3
-156.25, 2.239991, 3
-157.227, 2.216149, 3
-158.203, 2.192307, 3
-159.18, 2.168465, 3
-160.156, 2.148438, 3
-161.133, 2.148438, 3
-162.109, 2.148438, 3
-163.086, 2.148438, 3
-164.063, 2.149963, 3
-165.039, 2.173805, 3
-166.016, 2.197646, 3
-166.992, 2.221488, 3
-167.969, 2.24533, 3
-168.945, 2.223015, 3
-169.922, 2.199173, 3
-170.898, 2.175332, 3
-171.875, 2.15149, 3
-172.852, 2.127648, 3
-173.828, 2.103806, 3
-174.805, 2.079964, 3
-175.781, 2.056122, 3
-176.758, 2.069282, 3
-177.734, 2.093124, 3
-178.711, 2.116966, 3
-179.688, 2.140807, 3
-180.664, 2.164649, 3
-181.641, 2.188491, 3
-182.617, 2.212333, 3
-183.594, 2.236175, 3
-184.57, 2.232171, 3
-185.547, 2.208329, 3
-186.523, 2.184487, 3
-187.5, 2.160645, 3
-188.477, 2.136803, 3
-189.453, 2.112961, 3
-190.43, 2.089119, 3
-191.406, 2.065278, 3
-192.383, 2.069472, 3
-193.359, 2.117156, 3
-194.336, 2.164839, 3
-195.312, 2.212523, 3
-196.289, 2.239037, 3
-197.266, 2.215195, 3
-198.242, 2.191353, 3
-199.219, 2.167511, 3
-200.195, 2.148438, 3
-201.172, 2.148438, 3
-202.148, 2.148438, 3
-203.125, 2.148438, 3
-204.102, 2.148438, 3
-205.078, 2.148438, 3
-206.055, 2.148438, 3
-207.031, 2.148438, 3
-208.008, 2.148438, 3
-208.984, 2.148438, 3
-209.961, 2.148438, 3
-210.937, 2.148438, 3
-211.914, 2.148438, 3
-212.891, 2.148438, 3
-213.867, 2.148438, 3
-214.844, 2.148438, 3
-215.82, 2.148438, 3
-216.797, 2.148438, 3
-217.773, 2.148438, 3
-218.75, 2.148438, 3
-219.727, 2.148438, 3
-220.703, 2.148438, 3
-221.68, 2.148438, 3
-222.656, 2.148438, 3
-223.633, 2.148438, 3
-224.609, 2.163314, 3
-225.586, 2.187156, 3
-226.562, 2.210998, 3
-227.539, 2.23484, 3
-228.516, 2.233506, 3
-229.492, 2.209664, 3
-230.469, 2.185822, 3
-231.445, 2.16198, 3
-232.422, 2.148438, 3
-233.398, 2.148438, 3
-234.375, 2.148438, 3
-235.352, 2.148438, 3
-236.328, 2.156448, 3
-237.305, 2.18029, 3
-238.281, 2.204131, 3
-239.258, 2.227973, 3
-240.234, 2.246094, 3
-241.211, 2.246094, 3
-242.188, 2.246094, 3
-243.164, 2.246094, 3
-244.141, 2.246094, 3
-245.117, 2.246094, 3
-246.094, 2.246094, 3
-247.07, 2.246094, 3
-248.047, 2.243806, 3
-249.023, 2.196123, 3
-250, 2.148439, 3
-250.977, 2.100755, 3
-251.953, 2.053071, 3
-252.93, 2.050781, 3
-253.906, 2.050781, 3
-254.883, 2.050781, 3
-255.859, 2.050781, 3
-256.836, 2.071189, 3
-257.813, 2.095031, 3
-258.789, 2.118873, 3
-259.766, 2.142715, 3
-260.742, 2.148438, 3
-261.719, 2.148438, 3
-262.695, 2.148438, 3
-263.672, 2.148438, 3
-264.648, 2.148438, 3
-265.625, 2.148438, 3
-266.602, 2.148438, 3
-267.578, 2.148438, 3
-268.555, 2.148438, 3
-269.531, 2.148438, 3
-270.508, 2.148438, 3
-271.484, 2.148438, 3
-272.461, 2.137185, 3
-273.438, 2.113343, 3
-274.414, 2.089501, 3
-275.391, 2.06566, 3
-276.367, 2.068709, 3
-277.344, 2.116393, 3
-278.32, 2.164076, 3
-279.297, 2.21176, 3
-280.273, 2.232744, 3
-281.25, 2.18506, 3
-282.227, 2.137376, 3
-283.203, 2.089693, 3
-284.18, 2.050781, 3
-285.156, 2.050781, 3
-286.133, 2.050781, 3
-287.109, 2.050781, 3
-288.086, 2.050781, 3
-289.063, 2.050781, 3
-290.039, 2.050781, 3
-291.016, 2.050781, 3
-291.992, 2.050781, 3
-292.969, 2.098082, 3
-293.945, 2.145766, 3
-294.922, 2.193449, 3
-295.898, 2.241133, 3
-296.875, 2.203371, 3
-297.852, 2.155687, 3
-298.828, 2.108003, 3
-299.805, 2.060319, 3
-300.781, 2.069854, 3
-301.758, 2.093696, 3
-302.734, 2.117537, 3
-303.711, 2.141379, 3
-304.688, 2.148438, 3
-305.664, 2.148438, 3
-306.641, 2.148438, 3
-307.617, 2.148438, 3
-308.594, 2.133943, 3
-309.57, 2.110101, 3
-310.547, 2.086259, 3
-311.523, 2.062417, 3
-312.5, 2.062987, 3
-313.477, 2.086829, 3
-314.453, 2.110671, 3
-315.43, 2.134513, 3
-316.406, 2.148438, 3
-317.383, 2.148438, 3
-318.359, 2.148438, 3
-319.336, 2.148438, 3
-320.312, 2.156066, 3
-321.289, 2.179908, 3
-322.266, 2.20375, 3
-323.242, 2.227592, 3
-324.219, 2.240754, 3
-325.195, 2.216912, 3
-326.172, 2.19307, 3
-327.148, 2.169229, 3
-328.125, 2.148438, 3
-329.102, 2.148438, 3
-330.078, 2.148438, 3
-331.055, 2.148438, 3
-332.031, 2.148438, 3
-333.008, 2.148438, 3
-333.984, 2.148438, 3
-334.961, 2.148438, 3
-335.938, 2.148438, 3
-336.914, 2.170753, 3
-337.891, 2.194594, 3
-338.867, 2.218436, 3
-339.844, 2.242278, 3
-340.82, 2.226068, 3
-341.797, 2.202226, 3
-342.773, 2.178384, 3
-343.75, 2.154542, 3
-344.727, 2.148438, 3
-345.703, 2.148438, 3
-346.68, 2.148438, 3
-347.656, 2.148438, 3
-348.633, 2.148438, 3
-349.609, 2.148438, 3
-350.586, 2.148438, 3
-351.563, 2.148438, 3
-352.539, 2.135278, 3
-353.516, 2.111436, 3
-354.492, 2.087594, 3
-355.469, 2.063752, 3
-356.445, 2.061652, 3
-357.422, 2.085494, 3
-358.398, 2.109336, 3
-359.375, 2.133178, 3
-360.352, 2.139855, 3
-361.328, 2.116014, 3
-362.305, 2.092172, 3
-363.281, 2.06833, 3
-364.258, 2.050781, 3
-365.234, 2.050781, 3
-366.211, 2.050781, 3
-367.188, 2.050781, 3
-368.164, 2.054786, 3
-369.141, 2.078628, 3
-370.117, 2.102469, 3
-371.094, 2.126311, 3
-372.07, 2.146722, 3
-373.047, 2.12288, 3
-374.023, 2.099038, 3
-375, 2.075196, 3
-375.977, 2.051354, 3
-376.953, 2.07405, 3
-377.93, 2.097892, 3
-378.906, 2.121734, 3
-379.883, 2.145576, 3
-380.859, 2.127458, 3
-381.836, 2.103616, 3
-382.813, 2.079774, 3
-383.789, 2.055932, 3
-384.766, 2.069472, 3
-385.742, 2.093314, 3
-386.719, 2.117156, 3
